N,x,y,col0,col1,col2,col3,col4,col-1,col-2,col-3,col-4,row4,row3,row2,row1,row0,row-1,row-2,row-3,row-4
TC0,0,18,TC3,TC17,TC4,TC10,TC11,TC15,TC2,TC1,TC5,TC1,TC5,TC12,TC21,TC26,TC37,TC42,TC51,TC58
TC1,-10,15,TC8,TC24,TC9,TC19,TC20,TC22,TC7,TC6,TC12,TC2,TC6,TC13,TC22,TC27,TC38,TC43,TC52,TC59
TC2,-5,15,TC16,TC32,TC18,TC34,TC35,TC30,TC14,TC13,TC27,TC3,TC7,TC14,TC23,TC28,TC39,TC44,TC53,TC60
TC3,0,15,TC23,TC40,TC25,TC49,TC50,TC38,TC21,TC28,TC42,TC4,TC8,TC15,TC24,TC29,TC40,TC45,TC54,TC61
TC4,5,15,TC31,TC47,TC33,TC56,TC57,TC45,TC29,TC43,TC51,,TC9,TC16,TC25,TC30,TC41,TC46,TC55,TC62
TC5,-15,10,TC39,,TC41,TC62,,,TC37,TC52,,,TC10,TC17,,TC31,,TC47,TC56,
TC6,-10,10,TC46,,TC48,,,,TC44,TC58,,,TC11,TC18,,TC32,,TC48,TC57,
TC7,-5,10,TC54,,TC55,,,,TC53,,,,,TC19,,TC33,,TC49,,
TC8,0,10,TC60,,TC61,,,,TC59,,,,,TC20,,TC34,,TC50,,
TC9,5,10,TC63,,,,,,,,,,,,,TC35,,,,
TC10,10,10,,,,,,,,,,,,,,TC36,,,,
TC11,15,10,,,,,,,,,,,,,,,,,,
TC12,-15,5,,,,,,,,,,,,,,,,,,
TC13,-10,5,,,,,,,,,,,,,,,,,,
TC14,-5,5,,,,,,,,,,,,,,,,,,
TC15,-2.5,5,,,,,,,,,,,,,,,,,,
TC16,0,5,,,,,,,,,,,,,,,,,,
TC17,2.5,5,,,,,,,,,,,,,,,,,,
TC18,5,5,,,,,,,,,,,,,,,,,,
TC19,10,5,,,,,,,,,,,,,,,,,,
TC20,15,5,,,,,,,,,,,,,,,,,,
TC21,-5,2.5,,,,,,,,,,,,,,,,,,
TC22,-2.5,2.5,,,,,,,,,,,,,,,,,,
TC23,0,2.5,,,,,,,,,,,,,,,,,,
TC24,2.5,2.5,,,,,,,,,,,,,,,,,,
TC25,5,2.5,,,,,,,,,,,,,,,,,,
TC26,-18,0,,,,,,,,,,,,,,,,,,
TC27,-15,0,,,,,,,,,,,,,,,,,,
TC28,-10,0,,,,,,,,,,,,,,,,,,
TC29,-5,0,,,,,,,,,,,,,,,,,,
TC30,-2.5,0,,,,,,,,,,,,,,,,,,
TC31,0,0,,,,,,,,,,,,,,,,,,
TC32,2.5,0,,,,,,,,,,,,,,,,,,
TC33,5,0,,,,,,,,,,,,,,,,,,
TC34,10,0,,,,,,,,,,,,,,,,,,
TC35,15,0,,,,,,,,,,,,,,,,,,
TC36,18,0,,,,,,,,,,,,,,,,,,
TC37,-5,-2.5,,,,,,,,,,,,,,,,,,
TC38,-2.5,-2.5,,,,,,,,,,,,,,,,,,
TC39,0,-2.5,,,,,,,,,,,,,,,,,,
TC40,2.5,-2.5,,,,,,,,,,,,,,,,,,
TC41,5,-2.5,,,,,,,,,,,,,,,,,,
TC42,-15,-5,,,,,,,,,,,,,,,,,,
TC43,-10,-5,,,,,,,,,,,,,,,,,,
TC44,-5,-5,,,,,,,,,,,,,,,,,,
TC45,-2.5,-5,,,,,,,,,,,,,,,,,,
TC46,0,-5,,,,,,,,,,,,,,,,,,
TC47,2.5,-5,,,,,,,,,,,,,,,,,,
TC48,5,-5,,,,,,,,,,,,,,,,,,
TC49,10,-5,,,,,,,,,,,,,,,,,,
TC50,15,-5,,,,,,,,,,,,,,,,,,
TC51,-15,-10,,,,,,,,,,,,,,,,,,
TC52,-10,-10,,,,,,,,,,,,,,,,,,
TC53,-5,-10,,,,,,,,,,,,,,,,,,
TC54,0,-10,,,,,,,,,,,,,,,,,,
TC55,5,-10,,,,,,,,,,,,,,,,,,
TC56,10,-10,,,,,,,,,,,,,,,,,,
TC57,15,-10,,,,,,,,,,,,,,,,,,
TC58,-10,-15,,,,,,,,,,,,,,,,,,
TC59,-5,-15,,,,,,,,,,,,,,,,,,
TC60,0,-15,,,,,,,,,,,,,,,,,,
TC61,5,-15,,,,,,,,,,,,,,,,,,
TC62,10,-15,,,,,,,,,,,,,,,,,,
TC63,0,-20,,,,,,,,,,,,,,,,,,
